deltas,alphas,results
1,1,0.030000000000000027
2,1,0.07399999999999995
3,1,0.07399999999999995
4,1,0.07399999999999995
5,1,0.07399999999999995
6,1,0.07399999999999995
7,1,0.07399999999999995
8,1,0.07399999999999995
9,1,0.07399999999999995
10,1,0.07399999999999995
11,1,0.07399999999999995
12,1,0.07399999999999995
13,1,0.07399999999999995
14,1,0.07399999999999995
15,1,0.07399999999999995
16,1,0.07399999999999995
17,1,0.07399999999999995
18,1,0.07399999999999995
19,1,0.07399999999999995
20,1,0.07399999999999995
21,1,0.07399999999999995
22,1,0.07399999999999995
23,1,0.07399999999999995
24,1,0.07399999999999995
25,1,0.07399999999999995
26,1,0.07399999999999995
27,1,0.07399999999999995
28,1,0.07399999999999995
29,1,0.07399999999999995
30,1,0.07399999999999995
31,1,0.07399999999999995
32,1,0.07399999999999995
33,1,0.07399999999999995
34,1,0.07399999999999995
35,1,0.07399999999999995
36,1,0.07399999999999995
37,1,0.07399999999999995
38,1,0.07399999999999995
39,1,0.07399999999999995
40,1,0.07399999999999995
41,1,0.07399999999999995
42,1,0.07399999999999995
43,1,0.07399999999999995
44,1,0.07399999999999995
45,1,0.07399999999999995
46,1,0.07399999999999995
47,1,0.07399999999999995
48,1,0.07399999999999995
49,1,0.07399999999999995
50,1,0.07399999999999995
1,2,0.03700000000000003
2,2,0.030000000000000027
3,2,0.07399999999999995
4,2,0.07399999999999995
5,2,0.07399999999999995
6,2,0.07399999999999995
7,2,0.07399999999999995
8,2,0.07399999999999995
9,2,0.07399999999999995
10,2,0.07399999999999995
11,2,0.07399999999999995
12,2,0.07399999999999995
13,2,0.07399999999999995
14,2,0.07399999999999995
15,2,0.07399999999999995
16,2,0.07399999999999995
17,2,0.07399999999999995
18,2,0.07399999999999995
19,2,0.07399999999999995
20,2,0.07399999999999995
21,2,0.07399999999999995
22,2,0.07399999999999995
23,2,0.07399999999999995
24,2,0.07399999999999995
25,2,0.07399999999999995
26,2,0.07399999999999995
27,2,0.07399999999999995
28,2,0.07399999999999995
29,2,0.07399999999999995
30,2,0.07399999999999995
31,2,0.07399999999999995
32,2,0.07399999999999995
33,2,0.07399999999999995
34,2,0.07399999999999995
35,2,0.07399999999999995
36,2,0.07399999999999995
37,2,0.07399999999999995
38,2,0.07399999999999995
39,2,0.07399999999999995
40,2,0.07399999999999995
41,2,0.07399999999999995
42,2,0.07399999999999995
43,2,0.07399999999999995
44,2,0.07399999999999995
45,2,0.07399999999999995
46,2,0.07399999999999995
47,2,0.07399999999999995
48,2,0.07399999999999995
49,2,0.07399999999999995
50,2,0.07399999999999995
1,3,0.03700000000000003
2,3,0.03700000000000003
3,3,0.030000000000000027
4,3,0.07399999999999995
5,3,0.07399999999999995
6,3,0.07399999999999995
7,3,0.07399999999999995
8,3,0.07399999999999995
9,3,0.07399999999999995
10,3,0.07399999999999995
11,3,0.07399999999999995
12,3,0.07399999999999995
13,3,0.07399999999999995
14,3,0.07399999999999995
15,3,0.07399999999999995
16,3,0.07399999999999995
17,3,0.07399999999999995
18,3,0.07399999999999995
19,3,0.07399999999999995
20,3,0.07399999999999995
21,3,0.07399999999999995
22,3,0.07399999999999995
23,3,0.07399999999999995
24,3,0.07399999999999995
25,3,0.07399999999999995
26,3,0.07399999999999995
27,3,0.07399999999999995
28,3,0.07399999999999995
